type	latitude	longitude	name	desc
T	18.0243230	-67.1740580		Length: 1.522 km (0.946 mi)
T	18.0239965	-67.1738863
T	18.0236292	-67.1737146
T	18.0232211	-67.1734571
T	18.0228130	-67.1732855
T	18.0224049	-67.1732426
T	18.0219152	-67.1731567
T	18.0213030	-67.1730709
T	18.0209358	-67.1730709
T	18.0202828	-67.1730709
T	18.0197523	-67.1730280
T	18.0192217	-67.1729851
T	18.0185279	-67.1729851
T	18.0179566	-67.1731138
T	18.0173852	-67.1731138
T	18.0168547	-67.1732426
T	18.0163650	-67.1733284
T	18.0158344	-67.1734142
T	18.0153447	-67.1735859
T	18.0148550	-67.1736288
T	18.0144060	-67.1736717
T	18.0139979	-67.1738434
T	18.0134265	-67.1741438
T	18.0130184	-67.1742725
T	18.0126511	-67.1746159
T	18.0122430	-67.1749163
T	18.0117124	-67.1753454
T	18.0114676	-67.1756029
